filename,num_actual_colors,color1_r,color1_g,color1_b,ratio1,color2_r,color2_g,color2_b,ratio2,color3_r,color3_g,color3_b,ratio3,color4_r,color4_g,color4_b,ratio4,color5_r,color5_g,color5_b,ratio5
image_21.jpg,5,90,13,209,0.6062222222222222,238,220,6,0.10057777777777778,251.0,248.0,249.0,0.0912,246.0,180.0,6.0,0.08355555555555555,193.0,159.0,241.0,0.05791111111111111
image_22.jpg,5,202,203,202,0.6428444444444443,4,81,50,0.1792888888888889,249.0,82.0,6.0,0.0724,195.0,125.0,91.0,0.04084444444444445,224.0,161.0,131.0,0.032
image_23.jpg,5,37,37,61,0.3669777777777778,151,199,193,0.31542222222222216,254.0,254.0,254.0,0.20724444444444445,184.0,56.0,86.0,0.054622222222222225,110.0,149.0,146.0,0.03475555555555555
image_24.jpg,5,17,15,23,0.40773333333333334,56,31,115,0.1953777777777778,242.0,90.0,26.0,0.1436888888888889,202.0,199.0,19.0,0.204,220.0,137.0,20.0,0.02662222222222222
image_25.jpg,5,144,166,170,0.4312,36,65,76,0.38764444444444446,202.0,214.0,216.0,0.06791111111111112,161.0,12.0,31.0,0.05084444444444444,73.0,20.0,24.0,0.0456
image_26.jpg,4,254,254,254,0.5408444444444445,254,202,72,0.2531555555555556,43.0,62.0,119.0,0.16777777777777778,247.0,81.0,90.0,0.020933333333333335,,,,
image_27.jpg,5,234,225,223,0.3061333333333333,191,195,210,0.23395555555555556,230.0,64.0,156.0,0.1403111111111111,41.0,115.0,169.0,0.18080000000000002,115.0,149.0,188.0,0.058222222222222224
image_28.jpg,3,254,254,254,0.5808444444444445,253,107,45,0.3172,3.0,147.0,85.0,0.06857777777777778,,,,,,,,
image_29.jpg,5,44,30,20,0.29488888888888887,53,149,144,0.23471111111111112,249.0,75.0,33.0,0.15502222222222223,249.0,229.0,188.0,0.11257777777777778,182.0,166.0,133.0,0.112
image_3.jpg,5,249,46,1,0.566711111111111,29,29,27,0.2577333333333333,239.0,239.0,239.0,0.12524444444444444,125.0,28.0,10.0,0.020444444444444446,171.0,168.0,167.0,0.015955555555555556
image_30.jpg,4,145,183,252,0.7438222222222223,252,101,213,0.20004444444444444,9.0,8.0,26.0,0.023822222222222224,42.0,47.0,80.0,0.01248888888888889,,,,
image_31.jpg,3,62,209,248,0.7882222222222223,254,254,254,0.14933333333333335,248.0,80.0,148.0,0.051866666666666665,,,,,,,,
image_32.jpg,5,204,212,227,0.6932,100,69,159,0.07915555555555556,174.0,167.0,210.0,0.11604444444444445,252.0,253.0,253.0,0.05031111111111111,125.0,101.0,177.0,0.04204444444444445
image_33.jpg,5,247,251,251,0.38555555555555554,4,4,5,0.16884444444444444,9.0,115.0,122.0,0.146,196.0,217.0,217.0,0.13782222222222223,238.0,71.0,43.0,0.06786666666666667
image_34.jpg,5,213,53,43,0.2829777777777778,250,243,207,0.30035555555555554,9.0,9.0,11.0,0.1556,90.0,149.0,203.0,0.09515555555555555,134.0,102.0,90.0,0.042355555555555556
